MATCH #,TEAM 1,TEAM 2,GROUP,Event Id,Event Name,Event Date,Venue,Section,Sold Quantity,Sold Proceeds,Sold Cost,Margin,P & L,UNIT.P&L,Unsold Quantity,Unsold Cost,UNIT LIST PRICE,Unit Cost
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$900.00 ,$454.00 ,$450.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$900.00 ,$521.42 ,$450.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,Category 2,4,"$1,805.26 ","$1,240.00 ",0.313118331,$565.26 ,$141.32 ,0,$0.00 ,$0.00 ,$310.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,800.00 ","$2,005.67 ",$450.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,CATEGORY 2,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$760.00 ,$432.53 ,$380.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,CATEGORY 2,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$760.00 ,$535.51 ,$380.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,CATEGORY 2,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$760.00 ,$597.30 ,$380.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,240.00 ","$2,237.95 ",$310.00 
25,TBD,South Africa,Group A,153022626,TBD vs South Africa - World Cup - Group A (Match 25),6/18/2026 12:00:00 PM +00:00,Mercedes-Benz Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,520.00 ","$1,133.97 ",$380.00 
32,United States,Australia,Group D,153022626,United States vs Australia - World Cup - Group D (Match 32),6/19/2026 12:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Category 3,4,"$3,673.82 ",$880.00 ,0.760467306,"$2,793.82 ",$698.46 ,0,$0.00 ,$0.00 ,$220.00 
32,United States,Australia,Group D,153020544,United States vs Australia - World Cup - Group D (Match 32),6/19/2026 12:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,880.00 ","$2,657.65 ",$470.00 
30,Scotland,Morocco,Group C,153020544,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$4,276.12 ","$1,240.00 ",0.710017492,"$3,036.12 ",$759.03 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$3,036.04 ","$1,240.00 ",0.591573233,"$1,796.04 ",$449.01 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$3,184.65 ","$1,240.00 ",0.610632251,"$1,944.65 ",$486.16 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$2,994.02 ","$1,240.00 ",0.585841109,"$1,754.02 ",$438.50 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,240.00 ","$1,429.81 ",$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$3,983.56 ","$1,240.00 ",0.688720641,"$2,743.56 ",$685.89 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,240.00 ","$1,646.70 ",$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$2,611.56 ","$1,240.00 ",0.52518801,"$1,371.56 ",$342.89 ,0,$0.00 ,$0.00 ,$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,240.00 ","$1,299.74 ",$310.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 1,4,"$3,935.12 ","$1,640.00 ",0.583240155,"$2,295.12 ",$573.78 ,0,$0.00 ,$0.00 ,$410.00 
30,Scotland,Morocco,Group C,153022637,Scotland vs Morocco - World Cup - Group C (Match 30),6/19/2026 6:00:00 PM +00:00,Gillette Stadium,Category 2,4,"$2,758.97 ","$1,240.00 ",0.55055691,"$1,518.97 ",$379.74 ,0,$0.00 ,$0.00 ,$310.00 
29,Brazil,Haiti,Group C,153022637,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,3,"$3,468.49 ","$1,335.00 ",0.615106285,"$2,133.49 ",$711.16 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$4,482.45 ","$1,780.00 ",0.602895737,"$2,702.45 ",$675.61 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$4,704.08 ","$1,780.00 ",0.621605074,"$2,924.08 ",$731.02 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 3,4,$996.17 ,$620.00 ,0.37761627,$376.17 ,$94.04 ,0,$0.00 ,$0.00 ,$155.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,780.00 ","$2,050.03 ",$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,440.00 ","$1,524.96 ",$360.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 2,4,"$3,963.96 ","$1,440.00 ",0.636726909,"$2,523.96 ",$630.99 ,0,$0.00 ,$0.00 ,$360.00 
